,FullGPVariationalStrategy,FullGPEntropyStrategy,FullGPIMSPEStrategy,FullGPRandomStrategy
entropy_initial,-inf,-inf,-inf,-inf
KL_initial_to_final,0.2237851653754076,0.22583082412741637,0.061039789870018256,0.2380551027872921
KL_initial_to_true,0.48162863924183175,0.48162863924183175,0.48162863924183175,0.48162863924183175
entropy_final,5.294432676965632,5.605057972863907,-inf,-inf
KL_final_to_initial,0.3235563495130657,0.20168610780626017,0.2725640867123316,0.3134045472161772
KL_final_to_true,0.21489424859822415,0.44873739567177845,0.44168016420567147,0.4740337277736267
entropy_true,2.745336932239394,2.745336932239394,2.745336932239394,2.745336932239394
KL_true_to_initial,1.6733876344758938,1.6733876344758938,1.6733876344758938,1.6733876344758938
KL_true_to_final,1.3878715499175516,1.831696337792043,1.5086080516520959,1.8049636736377295
