,FullGPVariationalStrategy,FullGPEntropyStrategy,FullGPIMSPEStrategy,FullGPRandomStrategy
entropy_initial,5.50049359948227,5.50049359948227,5.50049359948227,5.50049359948227
KL_initial_to_final,0.33550914791777603,0.25539959594091477,0.04062558690104758,0.3630403938887216
KL_initial_to_true,0.821174443992535,0.821174443992535,0.821174443992535,0.821174443992535
entropy_final,4.939440146620482,5.108164507367788,-inf,5.102080681994075
KL_final_to_initial,0.5178691116467007,0.3534346768184887,0.2066823779209331,0.4264035040749479
KL_final_to_true,0.09943549363018811,0.11455417343131073,0.5187453465706462,0.20719545982061985
entropy_true,-inf,-inf,-inf,-inf
KL_true_to_initial,1.9039690447374884,1.9039690447374884,1.9039690447374884,1.9039690447374884
KL_true_to_final,1.0715968922571546,1.2284920570927458,1.4539149766852681,1.2849292672519543
