,Time,entropy,KL_prior,log_prob,cal_err,map_err,MMD,KL,KL_rev,RMSE,RMSE_true
0,7.176399230957031e-05,5.650445782062917,0.0,-4.675754132818691,1.3769575845112796,1.2819819287607004,0.3422642638702846,2.0282541837040804,1.051123881202922,0.580040999551651,0.5798991120341773
1,5.654295444488525,5.636248217538165,0.0,-4.675754132818691,1.4065332746588946,1.3851847812200757,0.3434717350437598,2.0405994229551374,1.0933038949174516,0.5839217735352712,0.5796364011827735
2,9.94316816329956,5.621560244429354,0.0,-4.675754132818691,1.4335483300983902,1.353265039689091,0.34169446673653736,2.0331307671874734,1.0828319695980617,0.5744490178809545,0.5725771688929512
3,14.50322675704956,5.6246065736792445,0.0,-4.675754132818691,1.418613777183239,1.4861489306173121,0.34112717557656813,1.9913527531121153,1.0736794265229543,0.5710529485458679,0.5670997456852026
4,19.604163646697998,5.611454801564275,0.0,-4.675754132818691,1.4240910049254112,1.5811340870142823,0.34406402394056174,2.055400719994267,1.1032135802155878,0.5725672216845645,0.5676427807065185
5,25.487523078918457,5.6539081464857865,0.0,-4.675754132818691,1.4079587165337284,1.2870470836781298,0.340123608643824,1.9883427199642043,1.0659985911081087,0.5720791979252875,0.5623131906726595
6,34.709559202194214,5.636559148873234,0.009359094085697958,-4.675754132818691,1.3987531267100544,1.4122916635259846,0.3429389282506847,2.003574602875065,1.0783665709660044,0.5636198611806984,0.5536851263805175
7,42.32266330718994,5.6543497193027035,0.0,-4.675754132818691,1.4048891539390624,1.3871464377281302,0.3423647401187619,2.0418470248447473,1.0614616040046292,0.5578647126872492,0.5493421869318031
8,49.37962055206299,5.658463275365118,0.0,-4.675754132818691,1.431103896349786,1.23139444578769,0.34832634704803084,2.089857412941205,1.1265402011024521,0.5562448799116012,0.5401372883961865
9,56.32622218132019,5.630812591796635,0.0,-4.675754132818691,1.4495770714495504,1.389518508859576,0.34645143537161976,2.0618762200685787,1.1257743805071578,0.5608129279250238,0.5465976175794452
10,63.448851346969604,5.627848809919772,0.0,-4.675754132818691,1.3929393489459654,1.2402270443647898,0.34667377394323623,2.0606474017431884,1.115792407235139,0.5650527000958636,0.5491393936332715
11,71.15939593315125,5.631252036545643,0.007870223778380939,-4.675754132818691,1.4180916398620618,1.4531549247346414,0.3451938298736499,2.023212042915916,1.0961320330933133,0.5675996611568946,0.5504336149713304
12,80.27610421180725,5.6917661170557965,0.0,-4.675754132818691,1.4174500256072924,1.4691015104010212,0.34155993634918963,2.0441022333090153,1.063772873317788,0.5652748923039354,0.551963786727196
13,89.797856092453,5.663156099661764,0.0,-4.675754132818691,1.4376384914641407,1.4621774465013602,0.3454924095594511,2.0357220321470573,1.0955890949389429,0.5670552881320905,0.5529747662984291
14,99.83205485343933,5.668056588445018,0.0,-4.675754132818691,1.4104550267374851,1.3335515714332895,0.34370913937115144,2.059681855184633,1.0580618444871719,0.5645742648689019,0.5543559005243984
15,109.08349275588989,5.620361215337077,0.006511270635771405,-4.675754132818691,1.4238890753136393,1.5901171231706672,0.3509777559817354,2.074778134787298,1.1706335214110648,0.5736332264085368,0.5599430892578945
16,118.92024898529053,5.66097811477694,0.0,-4.675754132818691,1.4167114949204886,1.344382826834519,0.34407754403643687,2.031221568892357,1.0735205299193336,0.5760885299915481,0.5564418042675902
17,131.1124439239502,5.603383880255,0.0,-4.675754132818691,1.396486393935345,1.3540101792711998,0.34272813324432483,2.027360263604905,1.0728319322141475,0.57990616946582,0.564496752084853
18,142.734703540802,5.681746736334193,0.0,-4.675754132818691,1.3936296420265328,1.318010997074563,0.34084943200213486,2.034791713927227,1.0557921633038387,0.573793643347115,0.5650410887057096
19,153.62190961837769,5.611993610219784,0.00651616615409506,-4.675754132818691,1.3903959723570176,1.4655754204194735,0.3393054340434453,1.968113026503206,1.0738183144328675,0.5836156876180815,0.5646871648946242
20,165.0214385986328,5.646948668929417,0.001429771680621308,-4.675754132818691,1.4096029002366774,1.3736964671263443,0.33985202922528174,2.001622629087389,1.0580282340104996,0.5801135320689251,0.5602809804080406
21,179.43127179145813,5.6279171000437005,0.0,-4.675754132818691,1.4041269524722577,1.3892581250800637,0.34330788790895256,2.038522006986745,1.0803728822000314,0.577199413210151,0.5587022000928308
22,193.6837604045868,5.659205196937558,0.0,-4.675754132818691,1.396947927342252,1.411145190764922,0.3406133357553094,2.028854982031338,1.0652267528611947,0.574607093776801,0.5576159266253083
23,206.55336546897888,5.643428346132717,0.0,-4.675754132818691,1.407312728346735,1.3901196395189237,0.3414547040955144,2.026924966554891,1.0769743636269486,0.5760366371749667,0.5576068625587615
24,220.43523907661438,5.64074463396482,0.0,-4.675754132818691,1.3961854289654718,1.4424173518363377,0.34074798837248693,2.0041542889591217,1.0652836128992837,0.5704773580260812,0.5559952784544341
25,237.34552836418152,5.610497837313581,0.0011226467196191695,-4.675754132818691,1.4212257300460636,1.4724145996769713,0.34298032354449287,2.0156917131980125,1.0820815606651693,0.5631742289584399,0.5540290540077568
26,251.89605927467346,5.669623086126563,0.0,-4.675754132818691,1.4436568100811644,1.599808442845095,0.3471532858570142,2.064641739432951,1.124001861615892,0.5691160416052332,0.5519613711464316
27,266.60615515708923,5.633954117160433,0.0,-4.675754132818691,1.3937981454316126,1.384470289650408,0.34105568012729987,1.9823028923889763,1.0532415739664727,0.5670911677616287,0.5525616212279573
28,283.20943331718445,5.607900403334329,0.005557331323204181,-4.675754132818691,1.4004193919693093,1.4592638519920575,0.3489872388093863,2.046838402451629,1.1479882339607936,0.56281341173266,0.5489808139370782
